date,anchor_label,anchor_bull,anchor_bear,post_count,fear_weighted_mean,greed_weighted_mean,uncertainty_weighted_mean,fear_dominant_share,greed_dominant_share,mixed_share,uncertain_share,neutral_share,fear_high_share,greed_high_share,active_emotion_share,dominant_diff,dominant_spread,high_share_diff,high_share_spread,avg_engagement_weight,noise_ratio,short_ratio,question_ratio,meme_ratio,news_ratio,stance_calibrated_raw,stance_calibrated_0_100,stance_reliability,stance_calibrated_shrunk_0_100
2025-03-28,,0,0,40,1.643019,0.0,1.014299,0.266247,0.0,0.0,0.032956,0.700797,0.266247,0.0,0.266247,-0.266247,-1.0,-0.266247,-1.0,2.334389,0.325,0.725,0.375,0.05,0.15,-0.228376,29.341063,0.809619,33.274124
2025-03-29,,0,0,15,1.285815,0.049355,1.413915,0.186805,0.024677,0.0,0.084665,0.703852,0.186805,0.0,0.186805,-0.162128,-0.766625,-0.186805,-1.0,2.447118,0.2,0.866667,0.6,0.133333,0.066667,-0.175082,34.644668,0.578648,41.114667
2025-03-30,,0,0,10,1.731993,0.0,0.830682,0.336362,0.0,0.0,0.0,0.663638,0.336362,0.0,0.336362,-0.336362,-1.0,-0.336362,-1.0,2.308249,0.1,0.5,0.4,0.1,0.2,-0.233497,28.831442,0.579810,37.726265
2025-03-31,,0,0,50,2.449123,0.086194,1.028177,0.543862,0.0,0.0,0.0,0.456138,0.543862,0.0,0.543862,-0.543862,-1.0,-0.543862,-1.0,2.066108,0.26,0.62,0.44,0.06,0.14,-0.168517,35.297991,0.863870,37.299374
2025-04-01,,0,0,69,1.745082,0.206087,0.951031,0.37182,0.032818,0.0,0.03866,0.556702,0.37182,0.0,0.37182,-0.339002,-0.837789,-0.37182,-1.0,2.217716,0.231884,0.753623,0.42029,0.057971,0.115942,-0.042218,47.866760,0.953661,47.965613
2025-04-02,,0,0,49,1.879568,0.114106,1.137829,0.385655,0.0,0.0,0.0,0.614345,0.385655,0.0,0.385655,-0.385655,-1.0,-0.385655,-1.0,2.163541,0.040816,0.571429,0.591837,0.0,0.142857,-0.130854,39.046061,0.858705,40.593793
2025-04-03,bear,0,1,66,2.136482,0.153974,1.020644,0.461436,0.0,0.0,0.047194,0.49137,0.461436,0.0,0.461436,-0.461436,-1.0,-0.461436,-1.0,2.14765,0.181818,0.606061,0.424242,0.060606,0.106061,-0.099308,42.185393,0.940392,42.651208
2025-04-04,bear,0,1,69,2.063292,0.20042,1.034415,0.414659,0.017434,0.022863,0.0,0.545044,0.437523,0.040297,0.454956,-0.397226,-0.919307,-0.397226,-0.83133,2.34377,0.246377,0.710145,0.362319,0.072464,0.144928,-0.051364,46.956587,0.953661,47.097617
2025-04-05,bear,0,1,34,2.178744,0.035472,1.054233,0.486181,0.0,0.0,0.0,0.513819,0.486181,0.0,0.486181,-0.486181,-1.0,-0.486181,-1.0,2.233625,0.117647,0.647059,0.588235,0.029412,0.029412,-0.211482,31.022287,0.773748,35.316030
2025-04-06,bear,0,1,24,2.141724,0.092931,1.213121,0.483836,0.0,0.0,0.060334,0.45583,0.483836,0.0,0.483836,-0.483836,-1.0,-0.483836,-1.0,2.388923,0.125,0.791667,0.625,0.0,0.041667,-0.157788,36.365698,0.706020,40.373915
2025-04-07,bear,0,1,119,1.676725,0.123587,1.060553,0.325583,0.0,0.0,0.020293,0.654124,0.335743,0.0,0.335743,-0.325583,-1.0,-0.335743,-1.0,2.191577,0.226891,0.756303,0.478992,0.05042,0.033613,-0.117740,40.351114,1.000000,40.351114
2025-04-08,bear,0,1,77,2.055688,0.109219,1.007287,0.401084,0.017659,0.0,0.013979,0.567277,0.401084,0.0,0.401084,-0.383425,-0.915656,-0.401084,-1.0,2.23604,0.194805,0.675325,0.402597,0.064935,0.090909,-0.135543,38.579431,0.987696,38.719949
2025-04-09,bear,0,1,87,2.436836,0.163726,1.143893,0.52364,0.011829,0.0,0.013752,0.45078,0.52364,0.0,0.52364,-0.511811,-0.955818,-0.52364,-1.0,2.304946,0.126437,0.655172,0.494253,0.011494,0.08046,-0.094142,42.699492,1.000000,42.699492
2025-04-10,bear,0,1,110,2.174116,0.275382,1.008022,0.463574,0.026991,0.007453,0.009324,0.492658,0.471027,0.021426,0.485,-0.436582,-0.889959,-0.449601,-0.912982,2.268043,0.209091,0.727273,0.427273,0.145455,0.090909,0.015375,53.598184,1.000000,53.598184
2025-04-11,,0,0,100,1.917277,0.183611,0.988129,0.442627,0.026914,0.0,0.011191,0.519268,0.442627,0.010555,0.453182,-0.415713,-0.885361,-0.432072,-0.953417,2.264983,0.31,0.74,0.4,0.09,0.05,-0.068546,45.246703,1.000000,45.246703
2025-04-12,,0,0,51,2.425637,0.146668,1.298701,0.523986,0.0,0.0,0.0,0.476014,0.523986,0.0,0.523986,-0.523986,-1.0,-0.523986,-1.0,2.324837,0.117647,0.607843,0.686275,0.019608,0.039216,-0.110745,41.047228,0.868983,42.220190
2025-04-13,,0,0,46,2.128969,0.154315,1.12244,0.439519,0.021166,0.0,0.0,0.539314,0.439519,0.0,0.439519,-0.418353,-0.908109,-0.439519,-1.0,2.306609,0.043478,0.478261,0.652174,0.021739,0.065217,-0.096154,42.499266,0.842887,43.677730
2025-04-14,,0,0,81,1.978843,0.273506,1.166605,0.438698,0.05024,0.0,0.029355,0.481707,0.438698,0.024539,0.463237,-0.388458,-0.794494,-0.414159,-0.894056,2.247273,0.209877,0.728395,0.506173,0.037037,0.061728,0.017006,53.760495,1.000000,53.760495
2025-04-15,,0,0,59,2.390575,0.192933,1.072062,0.510973,0.0,0.0,0.019406,0.469621,0.510973,0.0,0.510973,-0.510973,-1.0,-0.510973,-1.0,2.352394,0.101695,0.457627,0.525424,0.016949,0.101695,-0.066701,45.430310,0.908206,45.849781
2025-04-16,,0,0,73,2.254557,0.150822,0.939842,0.430001,0.005031,0.0,0.0,0.564968,0.44672,0.005031,0.451751,-0.42497,-0.976871,-0.441689,-0.977727,2.317569,0.260274,0.589041,0.438356,0.013699,0.136986,-0.099863,42.130161,0.970912,42.359082
2025-04-17,,0,0,66,2.491565,0.217676,1.012417,0.51228,0.01391,0.0173,0.0,0.456509,0.52958,0.0173,0.52958,-0.49837,-0.947128,-0.51228,-0.936733,2.36546,0.181818,0.621212,0.424242,0.030303,0.060606,-0.042966,47.792322,0.940392,47.923918
2025-04-18,,0,0,70,2.09958,0.228393,1.181457,0.454757,0.031842,0.0,0.015534,0.497868,0.454757,0.0,0.454757,-0.422916,-0.869126,-0.454757,-1.0,2.197125,0.271429,0.642857,0.4,0.042857,0.1,-0.027635,49.318002,0.958019,49.346633
2025-04-19,,0,0,27,1.832524,0.274515,1.085591,0.314246,0.0,0.049768,0.072079,0.563907,0.364015,0.049768,0.364015,-0.314246,-1.0,-0.314246,-0.759447,2.281401,0.074074,0.481481,0.62963,0.0,0.074074,0.023741,54.430735,0.727616,53.223873
2025-04-20,,0,0,21,2.405922,0.0,1.561572,0.574448,0.0,0.0,0.0,0.425552,0.574448,0.0,0.574448,-0.574448,-1.0,-0.574448,-1.0,2.334046,0.047619,0.47619,0.714286,0.0,0.047619,-0.251000,27.089614,0.683026,34.351613
2025-04-21,,0,0,56,2.190322,0.253688,1.084109,0.440074,0.027744,0.016752,0.021104,0.494327,0.456825,0.044496,0.484569,-0.41233,-0.881389,-0.41233,-0.822486,2.234175,0.160714,0.607143,0.5,0.017857,0.089286,-0.002890,51.780525,0.893829,51.591485
2025-04-22,,0,0,71,2.748049,0.236074,1.232815,0.611555,0.0,0.033481,0.016983,0.337981,0.645036,0.033481,0.645036,-0.611555,-1.0,-0.611555,-0.901312,2.248338,0.098592,0.309859,0.661972,0.014085,0.084507,-0.033939,48.690653,0.962347,48.739954
2025-04-23,,0,0,76,2.31683,0.185036,0.972741,0.533756,0.003882,0.0,0.0,0.462362,0.533756,0.003882,0.537638,-0.529875,-0.985561,-0.529875,-0.985561,2.204854,0.25,0.592105,0.407895,0.065789,0.092105,-0.075406,44.564024,0.983542,44.653491
2025-04-24,,0,0,56,2.104131,0.292355,1.042385,0.423372,0.027489,0.0,0.0,0.54914,0.423372,0.027489,0.45086,-0.395883,-0.878061,-0.395883,-0.878061,2.354782,0.214286,0.535714,0.410714,0.035714,0.089286,0.034342,55.485704,0.893829,54.903281
2025-04-25,,0,0,73,2.082687,0.138063,1.117681,0.453475,0.014614,0.0,0.017486,0.514424,0.453475,0.014614,0.468089,-0.438861,-0.937559,-0.438861,-0.937559,2.229378,0.164384,0.465753,0.547945,0.041096,0.041096,-0.112470,40.875563,0.970912,41.140978
2025-04-26,,0,0,30,2.411496,0.360015,1.428431,0.458404,0.014364,0.042919,0.0,0.484314,0.501322,0.057283,0.515686,-0.44404,-0.939236,-0.44404,-0.794909,2.305381,0.066667,0.2,0.6,0.066667,0.066667,0.093763,61.399043,0.748042,58.526964
2025-04-27,,0,0,26,3.05197,0.331304,1.716708,0.68235,0.0375,0.0,0.0,0.280151,0.68235,0.0375,0.719849,-0.64485,-0.895813,-0.64485,-0.895813,2.275134,0.115385,0.307692,0.653846,0.0,0.0,0.052239,57.266742,0.720557,55.236102
2025-04-28,,0,0,53,2.054323,0.173339,1.08263,0.47435,0.020232,0.0,0.0,0.505418,0.482462,0.0,0.482462,-0.454118,-0.918186,-0.482462,-1.0,2.270212,0.132075,0.490566,0.490566,0.037736,0.113208,-0.081112,43.996185,0.879062,44.722276
2025-04-29,,0,0,57,2.472295,0.184682,1.097326,0.569348,0.015106,0.0,0.0,0.415546,0.569348,0.0,0.569348,-0.554242,-0.948307,-0.569348,-1.0,2.262311,0.122807,0.368421,0.438596,0.017544,0.122807,-0.077765,44.329265,0.898663,44.903919
2025-04-30,,0,0,46,1.967903,0.185157,1.126028,0.367603,0.029015,0.0,0.022965,0.580417,0.367603,0.0,0.367603,-0.338588,-0.853687,-0.367603,-1.0,2.317214,0.23913,0.608696,0.347826,0.043478,0.217391,-0.061695,45.928487,0.842887,46.568175
2025-05-01,,0,0,46,2.127171,0.082589,1.315067,0.43155,0.025647,0.0,0.024097,0.518705,0.43155,0.0,0.43155,-0.405903,-0.887808,-0.43155,-1.0,2.238682,0.152174,0.456522,0.586957,0.021739,0.0,-0.162111,35.935490,0.842887,38.145209
2025-05-02,,0,0,85,2.265784,0.157732,1.119162,0.503495,0.0,0.011424,0.0,0.485081,0.514919,0.011424,0.514919,-0.503495,-1.0,-0.503495,-0.956591,2.104486,0.176471,0.623529,0.505882,0.023529,0.094118,-0.098903,42.225697,1.000000,42.225697
2025-05-03,,0,0,15,1.589451,0.0,0.914817,0.336213,0.0,0.0,0.0,0.663787,0.336213,0.0,0.336213,-0.336213,-1.0,-0.336213,-1.0,2.309475,0.266667,0.4,0.466667,0.0,0.0,-0.233443,28.836816,0.631458,36.636333
2025-05-04,,0,0,10,2.329503,0.112257,1.323648,0.553218,0.0,0.0,0.0,0.446782,0.553218,0.0,0.553218,-0.553218,-1.0,-0.553218,-1.0,2.405231,0.1,0.3,0.6,0.0,0.2,-0.144887,37.649554,0.579810,42.839092
2025-05-05,,0,0,34,1.998195,0.234097,1.07443,0.36144,0.038154,0.0,0.034906,0.5655,0.36144,0.038154,0.399594,-0.323287,-0.809038,-0.323287,-0.809038,2.239121,0.147059,0.676471,0.441176,0.029412,0.205882,-0.014608,50.614396,0.773748,50.475388
2025-05-06,,0,0,25,2.411878,0.166478,1.024957,0.463041,0.0,0.0,0.04,0.49696,0.463041,0.0,0.463041,-0.463041,-1.0,-0.463041,-1.0,2.401917,0.12,0.48,0.48,0.0,0.24,-0.087863,43.324353,0.713361,45.237853
2025-05-07,,0,0,38,2.091059,0.177697,0.699278,0.402706,0.0,0.0,0.027692,0.569602,0.402706,0.0,0.402706,-0.402706,-1.0,-0.402706,-1.0,2.381459,0.157895,0.578947,0.315789,0.052632,0.263158,-0.072933,44.810127,0.797982,45.858577
2025-05-08,,0,0,63,2.289723,0.213261,1.164628,0.405116,0.0,0.00536,0.056291,0.533232,0.41676,0.00536,0.41676,-0.405116,-1.0,-0.4114,-0.974604,2.129393,0.222222,0.571429,0.428571,0.063492,0.190476,-0.040135,48.074052,0.926818,48.214997
2025-05-09,,0,0,61,1.850113,0.397329,0.934392,0.320926,0.020034,0.020367,0.017007,0.621665,0.365069,0.040402,0.385103,-0.300892,-0.882482,-0.324667,-0.800716,2.357523,0.196721,0.491803,0.377049,0.032787,0.131148,0.138753,65.876267,0.917588,64.567874
2025-05-10,,0,0,14,1.352784,0.0,1.073951,0.197419,0.0,0.0,0.0,0.802581,0.197419,0.0,0.197419,-0.197419,-1.0,-0.197419,-1.0,2.337269,0.214286,0.571429,0.571429,0.0,0.071429,-0.223287,29.847500,0.585990,38.190833
2025-05-11,,0,0,18,2.745667,0.327356,1.234872,0.605857,0.053782,0.0,0.0,0.34036,0.605857,0.053782,0.65964,-0.552075,-0.836934,-0.552075,-0.836934,2.259571,0.055556,0.444444,0.611111,0.0,0.111111,0.055396,57.580913,0.658322,54.990682
2025-05-12,,0,0,67,2.015615,0.358629,0.993646,0.468643,0.080145,0.0,0.018239,0.432973,0.468643,0.025432,0.494075,-0.388498,-0.707921,-0.443211,-0.897052,2.231311,0.283582,0.656716,0.38806,0.104478,0.089552,0.095863,61.608027,0.944848,60.967817
2025-05-13,,0,0,47,2.473118,0.362591,1.07325,0.512979,0.023804,0.024838,0.0,0.438379,0.537817,0.024838,0.537817,-0.489176,-0.911309,-0.512979,-0.911712,2.175211,0.148936,0.489362,0.510638,0.06383,0.170213,0.092531,61.276440,0.848216,59.564852
2025-05-14,,0,0,64,1.960836,0.241929,1.446304,0.375204,0.028391,0.0,0.018086,0.578319,0.394036,0.01271,0.406745,-0.346813,-0.859309,-0.381326,-0.937506,2.277296,0.234375,0.46875,0.5,0.109375,0.125,-0.009494,51.123321,0.931378,51.046236
2025-05-15,,0,0,35,2.501398,0.223291,1.116363,0.509264,0.035271,0.0,0.0,0.455465,0.509264,0.0,0.509264,-0.473992,-0.870453,-0.509264,-1.0,2.272239,0.171429,0.428571,0.4,0.057143,0.2,-0.036267,48.458980,0.779935,48.798105
2025-05-16,,0,0,62,2.178365,0.1382,1.171319,0.502281,0.006397,0.0,0.05389,0.437432,0.502281,0.0,0.502281,-0.495884,-0.974849,-0.502281,-1.0,2.259975,0.209677,0.483871,0.483871,0.048387,0.096774,-0.116604,40.464164,0.922222,41.205847
2025-05-17,,0,0,36,2.017608,0.14144,1.213607,0.400197,0.014354,0.0,0.03669,0.54876,0.400197,0.014354,0.41455,-0.385843,-0.930751,-0.385843,-0.930751,2.308529,0.222222,0.444444,0.666667,0.111111,0.027778,-0.105453,41.573867,0.786033,43.376779
2025-05-18,,0,0,27,2.453409,0.24223,1.338122,0.590743,0.0,0.0,0.0,0.409257,0.590743,0.0,0.590743,-0.590743,-1.0,-0.590743,-1.0,2.264176,0.074074,0.37037,0.666667,0.037037,0.037037,-0.026604,49.420603,0.727616,49.578422
2025-05-19,,0,0,46,2.491342,0.310869,1.068315,0.596875,0.068731,0.0,0.0,0.334394,0.596875,0.05092,0.647795,-0.528143,-0.793477,-0.545954,-0.842789,2.195727,0.130435,0.5,0.413043,0.0,0.130435,0.041609,56.208887,0.842887,55.233390
2025-05-20,,0,0,39,2.728887,0.344985,1.014754,0.667017,0.055154,0.0,0.0,0.277829,0.667017,0.033155,0.700172,-0.611863,-0.847254,-0.633862,-0.905295,2.367433,0.076923,0.25641,0.487179,0.128205,0.051282,0.067168,58.752416,0.803838,57.035523
2025-05-21,,0,0,53,2.231026,0.296154,1.469062,0.501378,0.062229,0.0,0.050017,0.386376,0.501378,0.054856,0.556235,-0.439149,-0.779176,-0.446522,-0.802759,2.222758,0.283019,0.490566,0.471698,0.132075,0.056604,0.034595,55.510881,0.879062,54.844404
2025-05-22,,0,0,50,2.542447,0.247996,1.264634,0.575113,0.033787,0.0,0.024853,0.366247,0.575113,0.006431,0.581544,-0.541326,-0.889023,-0.568682,-0.977884,2.243357,0.16,0.42,0.5,0.04,0.12,-0.018053,50.271564,0.863870,50.234596
2025-05-23,,0,0,52,2.367427,0.381953,0.907377,0.519335,0.047621,0.0,0.019267,0.413777,0.547682,0.047621,0.566956,-0.471714,-0.832012,-0.500061,-0.840011,2.322785,0.230769,0.557692,0.326923,0.076923,0.134615,0.111801,63.194113,0.874047,61.532272
2025-05-24,,0,0,23,3.142258,0.429005,1.588297,0.770964,0.0,0.048461,0.0,0.180575,0.819425,0.048461,0.819425,-0.770964,-1.0,-0.770964,-0.888324,2.299375,0.043478,0.173913,0.652174,0.043478,0.043478,0.134040,65.407249,0.698524,60.762328
2025-05-25,,0,0,19,2.345049,0.244605,1.847519,0.523681,0.061151,0.0,0.111013,0.304155,0.523681,0.061151,0.584832,-0.46253,-0.790876,-0.46253,-0.790876,2.312329,0.052632,0.210526,0.789474,0.052632,0.052632,-0.015044,50.571008,0.666771,50.380731
2025-05-26,,0,0,48,2.009499,0.25952,1.077177,0.400842,0.060973,0.0,0.024247,0.513938,0.400842,0.030891,0.431733,-0.339869,-0.735942,-0.36995,-0.856896,2.280511,0.125,0.479167,0.520833,0.104167,0.145833,0.007440,52.808525,0.853488,52.397042
2025-05-27,,0,0,32,2.871319,0.219279,1.490302,0.679747,0.025907,0.0,0.0,0.294346,0.679747,0.01503,0.694777,-0.65384,-0.926573,-0.664716,-0.956733,2.36698,0.1875,0.375,0.65625,0.0625,0.0625,-0.052842,46.809502,0.761096,47.571724
2025-05-28,,0,0,44,2.325071,0.295121,1.048816,0.568365,0.044219,0.0,0.024452,0.362964,0.568365,0.021667,0.590032,-0.524146,-0.85563,-0.546698,-0.926556,2.263625,0.272727,0.590909,0.272727,0.090909,0.090909,0.027217,54.776653,0.832053,53.974428
2025-05-29,,0,0,66,2.184319,0.376004,1.207575,0.467591,0.078375,0.0,0.0,0.454034,0.467591,0.022509,0.4901,-0.389216,-0.712894,-0.445081,-0.908144,2.30732,0.19697,0.5,0.484848,0.136364,0.136364,0.111926,63.206552,0.940392,62.419333
2025-05-30,,0,0,55,2.31147,0.341607,1.20516,0.484538,0.051544,0.0,0.045351,0.418567,0.484538,0.051544,0.536082,-0.432994,-0.807702,-0.432994,-0.807702,2.259191,0.236364,0.454545,0.363636,0.054545,0.109091,0.077452,59.775838,0.888952,58.690246
2025-05-31,,0,0,26,2.981235,0.368589,1.296223,0.682144,0.033943,0.0,0.0,0.283913,0.682144,0.033943,0.716087,-0.648201,-0.905199,-0.648201,-0.905199,2.175927,0.076923,0.461538,0.5,0.0,0.038462,0.086742,60.700342,0.720557,57.710206
2025-06-01,,0,0,12,2.160492,0.180993,1.644928,0.382986,0.0,0.0,0.0,0.617014,0.382986,0.0,0.382986,-0.382986,-1.0,-0.382986,-1.0,2.289233,0.0,0.5,0.833333,0.0,0.0,-0.068452,45.256058,0.601744,47.145362
2025-06-02,,0,0,46,2.206614,0.138034,1.310905,0.498204,0.0,0.0,0.029596,0.4722,0.498204,0.0,0.498204,-0.498204,-1.0,-0.498204,-1.0,2.320557,0.195652,0.5,0.5,0.0,0.108696,-0.116846,40.440081,0.842887,41.942069
2025-06-03,,0,0,30,1.93199,0.202034,1.310818,0.43034,0.0,0.0,0.0,0.56966,0.43034,0.0,0.43034,-0.43034,-1.0,-0.43034,-1.0,2.300256,0.266667,0.733333,0.5,0.033333,0.1,-0.052227,46.870705,0.748042,47.659156
2025-06-04,,0,0,73,1.996156,0.315636,0.988459,0.428306,0.067362,0.0,0.0,0.504332,0.428306,0.035402,0.463708,-0.360944,-0.728197,-0.392904,-0.847309,2.29946,0.232877,0.657534,0.369863,0.082192,0.054795,0.058149,57.854881,0.970912,57.626395
2025-06-05,,0,0,83,1.955457,0.271785,0.97099,0.37467,0.037833,0.0,0.012545,0.574953,0.37467,0.033701,0.408371,-0.336837,-0.816571,-0.340969,-0.834949,2.382944,0.192771,0.626506,0.39759,0.072289,0.120482,0.019462,54.004906,1.000000,54.004906
2025-06-06,,0,0,54,2.438174,0.172251,0.872697,0.541506,0.0,0.0,0.044761,0.413733,0.600705,0.0,0.600705,-0.541506,-1.0,-0.600705,-1.0,2.2056,0.240741,0.555556,0.222222,0.148148,0.074074,-0.089023,43.208914,0.884029,43.996480
2025-06-07,,0,0,25,2.042406,0.368316,0.839456,0.442304,0.086411,0.0,0.0,0.471284,0.442304,0.043702,0.486006,-0.355893,-0.673127,-0.398602,-0.820159,2.47506,0.12,0.44,0.4,0.08,0.24,0.107414,62.757536,0.713361,59.100729
2025-06-08,,0,0,17,1.790822,0.203764,1.783271,0.398486,0.0,0.0,0.0,0.601514,0.398486,0.0,0.398486,-0.398486,-1.0,-0.398486,-1.0,2.461348,0.058824,0.529412,0.764706,0.0,0.0,-0.048259,47.265584,0.649635,48.223627
2025-06-09,,0,0,75,1.865387,0.267654,0.899852,0.412287,0.066003,0.0,0.0,0.52171,0.433272,0.015632,0.448904,-0.346284,-0.724004,-0.417641,-0.930357,2.347545,0.28,0.68,0.36,0.066667,0.12,0.014016,53.462942,0.979360,53.391466
2025-06-10,,0,0,82,1.755315,0.234576,1.027389,0.350812,0.04089,0.012526,0.012542,0.58323,0.363338,0.032892,0.383704,-0.309922,-0.791219,-0.330446,-0.833977,2.328827,0.329268,0.756098,0.378049,0.04878,0.04878,-0.013404,50.734214,1.000000,50.734214
2025-06-11,,0,0,95,1.91009,0.197116,1.085336,0.391003,0.022884,0.011572,0.023474,0.551067,0.402575,0.020379,0.411382,-0.368119,-0.889419,-0.382196,-0.903634,2.26687,0.221053,0.526316,0.357895,0.084211,0.052632,-0.052477,46.845826,1.000000,46.845826
2025-06-12,,0,0,63,1.607602,0.508222,1.134572,0.28998,0.111863,0.032481,0.0,0.565675,0.322461,0.128207,0.418187,-0.178117,-0.443249,-0.194255,-0.431037,2.317505,0.111111,0.571429,0.539683,0.047619,0.111111,0.251131,77.059675,0.926818,75.079388
2025-06-13,,0,0,103,2.039856,0.288039,1.167107,0.44856,0.029047,0.0,0.0,0.522393,0.44856,0.026225,0.474785,-0.419512,-0.878362,-0.422334,-0.889528,2.244742,0.203883,0.592233,0.466019,0.038835,0.087379,0.028586,54.912890,1.000000,54.912890
